State,2014-2015 Max Weekly Amt,Max Weekly Amt w/ Dependents,State Unemployment Website,Year
Alabama,265,,www.dir.alabama.gov,2015
Alaska,370,,www.labor.state.ak.us/estax/,2015
Arizona,240,,www.azdes.gov/esa/uitax/uithome.asp,2015
Arkansas,451,,www.arkansas.gov/esd/Employers/,2015
California,450,,http://www.edd.ca.gov/Unemployment/,2015
Colorado,529,,https://www.colorado.gov/cdle/unemployment,2015
Connecticut,590,,http://www.ctdol.state.ct.us/UI-Online/index.htm,2015
Delaware,330,,http://ui.delawareworks.com/,2015
District of Columbia,359,,www.dcnetworks.org,2015
Florida,275,,http://www.stateofflorida.com/articles/florida-unemployment.aspx,2015
Georgia,330,,www.dol.state.ga.us/em/,2015
Hawaii,551,,Hawaii Unemployment Insurance State Website,2015
Idaho,336,,labor.idaho.gov/dnn/idl/Businesses/eservices.aspx,2015
Illinois,426,580,IL Unemployment Insurance State Website,2015
Indiana,390,,www.in.gov/dwd/2614.htm,2015
Iowa,459,,www.iowaworkforce.org/ui/uiemployers.htm,2015
Kansas,420,,www.dol.ks.gov/KansasEmployer.aspx,2015
Kentucky,415,,www.oet.ky.gov/ui/ui.htm,2015
Louisiana,247,,www.laworks.net/UnemploymentInsurance/UI_Employers.asp,2015
Maine,378,,www.state.me.us/labor/unemployment/tax.html,2015
Maryland,430,,http://www.dllr.state.md.us/employment/uibenefits.shtml,2015
Massachusetts,698,,http://www.mass.gov/lwd/unemployment-insur/,2015
Michigan,362,,www.michigan.gov/uia#Employers,2015
Minnesota,629,,www.uimn.org/uimn/employers/,2015
Mississippi,235,,www.mdes.ms.gov/employers/unemployment-tax/,2015
Missouri,320,,labor.mo.gov/Employers,2015
Montana,464,,www.uid.dli.mt.gov/TAX/uitax.asp,2015
Nebraska,362,,www.dol.nebraska.gov/center.cfm?PRICAT=2&SUBCAT=1J,2015
Nevada,407,,https://uitax.nvdetr.org,2015
New Hampshire,427,,www.nhes.nh.gov/services/employers/claimtax.htm,2015
New Jersey,646,,http://lwd.dol.state.nj.us/labor/ui/ui_index.html,2015
New Mexico,397,,www.dws.state.nm.us,2015
New York,420,,http://labor.ny.gov/ui/ui_index.shtm,2015
North Carolina,350,,www.ncesc.com,2015
North Dakota,470,,www.jobsnd.com/unemployment-business,2015
Ohio,424,524,https://unemployment.ohio.gov/PublicSelfServiceChoice.html,2015
Oklahoma,440,,Oklahoma UI Home Page,2015
Oregon,538,,www.oregon.gov/employ/tax,2015
Pennsylvania,573,,http://www.uc.pa.gov/portal/server.pt/community/uc_pa_gov/11449,2015
Puerto Rico,133,,trabajo.pr.gov/content.asp?cn_id=4,2015
Rhode Island,566,,www.uitax.ri.gov,2015
South Carolina,326,,dew.sc.gov/emp-taxes.asp,2015
South Dakota,345,,dlr.sd.gov/ui/uitax.aspx,2015
Tennessee,275,,www.tennessee.gov/labor-wfd/es/EmployerAssistance.shtml,2015
Texas,454,,www.twc.state.tx.us/customers/bemp/unemployment-tax.html,2015
Utah,479,,https://jobs.utah.gov/ui/employer/employerhome.aspx,2015
Vermont,425,,labor.vermont.gov/unemployment-insurance/employers/,2015
Virgin Islands,378,,www.vidol.gov/unemployment_taxes.php,2015
Virginia,454,,www.vec.virginia.gov/vecportal/employer/employer_services.cfm,2015
Washington,637,,http://www.esd.wa.gov/index.php,2015
West Virginia,424,,West Virginia Unemployment Insurance Page,2015
Wisconsin,370,,dwd.wisconsin.gov/uitax/,2015
Wyoming,471,,Wyoming Unemployment Insurance Home Page,2015
