State,Max. Weekly Benefit Amount,Max Weekly Amt w/ Dependents,State Unemployment Insurance Benefits Site,Max Weeks*,Year
Alabama,275,,AL Unemployment Information,26,2020
Alaska,370,442,AK Unemployment Insurance State Website,26,2020
Arizona,240,,AZ Department of Economic Security,26,2020
Arkansas,451,,Arkansas Division of Workforce Services,20,2020
California,450,,CA.gov EDD details,26,2020
Colorado,618,,CO Department of Labor and Employment,26,2020
Connecticut,649,724,CT Department of Labor,26,2020
Delaware,400,,DE Division of Unemployment Insurance,26,2020
District of Columbia,444,,DC Dept. of Employment Services,26,2020
Florida,275,,FL Dept. of Economic Opportunity Information,12,2020
Georgia,365,,GA Department of Labor Information,14,2020
Hawaii,648,,HI Unemployment Insurance State Website,26,2020
Idaho,448,,ID Dept. of Labor,20,2020
Illinois,484,667,IL Dept of Employment Security,26,2020
Indiana,390,,IN Department of Workforce Development,26,2020
Iowa,481,591,IA Workforce Development,26,2020
Kansas,488,,KS Department of Labor,16,2020
Kentucky,552,,KY Career Center,26,2020
Louisiana,247,,LA Workforce Commission,26,2020
Maine,445,667,ME Department of Labor,26,2020
Maryland,430,,MD Department of Labor (DLLR),26,2020
Massachusetts,823,1234,MA Department of Unemployment Assistance,26,2020
Michigan,362,,MI UIA,20,2020
Minnesota,740,,MN Department of Employment and Economic Development,26,2020
Mississippi,235,,MS Department of Employment Security,26,2020
Missouri,320,,MO Department of Labor and Industrial Relations,13,2020
Montana,552,,MT Department of Labor and Industry,28,2020
Nebraska,440,,NE Department of Labor,26,2020
Nevada,469,,"NV Dept. of Employment, Training and Rehab",26,2020
New Hampshire,427,,NH Department of Employment Security,26,2020
New Jersey,713,,NJ Dept. of Labor and Workforce Development Information,26,2020
New Mexico,511,,NM Department of Workforce Solutions,26,2020
New York,504,,NY Dept. of Labor,26,2020
North Carolina,350,,NC Division of Employment Security,12,2020
North Dakota,618,,ND Job Service,26,2020
Ohio,480,647,OH Dept. of Job and Family Services,26,2020
Oklahoma,539,,OK UI Home Page,26,2020
Oregon,648,,OR Employment Department,26,2020
Pennsylvania,572,580,PA Department of Labor & Industry,26,2020
Puerto Rico,190,,PR Department of Labor & HR,26,2020
Rhode Island,586,867,RI Dept. of Labor and Training,26,2020
South Carolina,326,,SC Dept. of Employment & Workforce,20,2020
South Dakota,414,,SD Department of Labor & Regulation,26,2020
Tennessee,275,,TN Dept. of Labor and Workforce Development,26,2020
Texas,521,,TX Workforce Commission,26,2020
Utah,580,,UT Dept. of Workforce Services,26,2020
Vermont,513,,VT Dept. of Labor,26,2020
Virginia,378,,VA Employment Commission,26,2020
Washington,790,,WA Employment Security Department,26,2020
West Virginia,424,,Workforce WV,26,2020
Wisconsin,370,,WI Dept. of Workforce Development,26,2020
Wyoming,508,,WY Unemployment Insurance Home Page,26,2020
