State,Rate,Rank,Year
United States,8.1,,2020
Nebraska,4.1,1,2020
South Dakota,4.3,2,2020
Utah,4.7,3,2020
Maine,5,4,2020
Iowa,5.1,5,2020
North Dakota,5.1,5,2020
Idaho,5.5,7,2020
Vermont,5.6,8,2020
Kansas,5.7,9,2020
Montana,5.8,10,2020
Wyoming,5.8,10,2020
South Carolina,6,12,2020
Arkansas,6.1,13,2020
Missouri,6.1,13,2020
Oklahoma,6.2,15,2020
Virginia,6.2,15,2020
Minnesota,6.3,17,2020
Wisconsin,6.3,17,2020
Kentucky,6.4,19,2020
Alabama,6.5,20,2020
Georgia,6.5,20,2020
Maryland,6.7,22,2020
New Hampshire,6.7,22,2020
Colorado,6.9,24,2020
North Carolina,7.1,25,2020
Indiana,7.2,26,2020
Tennessee,7.4,27,2020
Delaware,7.6,28,2020
Oregon,7.6,28,2020
Arizona,7.7,30,2020
Texas,7.7,30,2020
Connecticut,7.8,32,2020
Mississippi,7.9,33,2020
District of Columbia,8,34,2020
New Mexico,8.1,35,2020
Alaska,8.2,36,2020
Florida,8.2,36,2020
Ohio,8.2,36,2020
West Virginia,8.2,36,2020
Washington,8.5,40,2020
Louisiana,8.7,41,2020
Pennsylvania,9.1,42,2020
Illinois,9.2,43,2020
Rhode Island,9.2,43,2020
Massachusetts,9.4,45,2020
New Jersey,9.5,46,2020
New York,9.9,47,2020
Michigan,10,48,2020
California,10.2,49,2020
Hawaii,12,50,2020
Nevada,13.5,51,2020
